codigo_pais,pais,dep,ciudad,PROV,nomprov,sec,nombremunicipio,idloc,AsientoElectoral,dist,nomdist,zona,nomzona,CIRCUNDIST,RECI,recinto_electoral,cantidadMesas,inscritos_habilitados,Inhabilitados,Depurados
4,ALEMANIA,61,BERLIN,1,BERLÍN,1,BERLIN,3804,BERLIN,1,DISTRITO BERLIN,101,ZONA BERLIN,0,25129,EMBAJADA,2,287,3,0
11,ARGENTINA,10,BUENOS AIRES,6,BERAZATEGUI,1,BERAZATEGUI,4138,12 DE OCTUBRE,1,DISTRITO 12 DE OCTUBRE,1,12 DE OCTUBRE,0,25063,I-QUILMES BERAZATEGUI-ESCUELA SECUNDARIA Nº6 JUAN DOMINGO PERON,10,2375,8,11
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,101,ZONA A,0,25055,A-ESC. PRIMARIA COMÚN Nº 16 PRESIDENTE BARTOLOME MITRE,13,2958,9,36
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,101,ZONA A,0,25157,A-ESC. PRIMARIA COMÚN N° 03 DR. ONÉSIMO LEGUIZAMÓN,8,1900,7,14
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,101,ZONA A,0,25162,A-ESCUELA TÉCNICA Nº 29 D.E. 06 RECONQUISTA DE BUENOS AIRES ,7,1533,3,21
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,102,ZONA B,0,25056,B-ESC. DE EDUCACIÓN MEDIA N° 02/13° ESCUELA DEL PARQUE,10,2212,7,14
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,102,ZONA B,0,25158,B-COLEGIO Nº 18 DR. ALBERTO LARROQUE,11,2553,13,13
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,102,ZONA B,0,25163,B-ESCUELA DE JORNADA COMPLETA Nº 08 D.E. 20 DR. DALMACIO VÉLEZ SÁRSFIELD,8,1765,2,26
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,102,ZONA B,0,25166,B-ESCUELA DE JORNADA COMPLETA Nº 18 D.E. 20 REPÚBLICA DE COREA ,11,2422,10,16
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,102,ZONA B,0,25167,B-ESCUELA DE JORNADA SIMPLE Nº 07 D.E. 18 REPUBLICA ARABE DE EGIPTO,7,1523,5,9
